time,x,y
2.9935171604156494,115,103
3.2347466945648193,119,123
3.5205435752868652,119,146
3.7475550174713135,119,165
3.957693576812744,120,185
4.169325828552246,118,205
4.4026405811309814,118,235
4.602688550949097,116,259
4.814216136932373,116,285
5.096659183502197,136,291
5.27954626083374,153,289
5.471629858016968,169,291
5.68939208984375,189,294
5.872582674026489,191,294
6.468596458435059,232,294
6.661486625671387,232,272
6.860581874847412,234,250
7.077884674072266,234,219
7.282517910003662,233,194
7.479446172714233,234,170
7.6872239112854,238,144
8.065686225891113,255,120
8.305645942687988,264,120
8.502578258514404,279,124
8.690486907958984,290,131
8.895270347595215,302,157
9.073394298553467,308,182
9.246644496917725,309,208
9.425599575042725,312,229
9.605404615402222,313,255
9.786049365997314,313,275
10.008415699005127,313,303
10.710483312606812,242,220
10.88160514831543,255,222
11.094413042068481,267,221
11.350490808486938,290,220
11.54343295097351,302,221
12.344574689865112,355,118
12.540488243103027,359,143
12.734497785568237,358,165
12.935288667678833,360,190
13.122570991516113,360,210
13.324175834655762,359,237
13.535159826278687,359,261
13.716606855392456,359,277
13.893391847610474,358,298
14.103378057479858,384,302
14.26249074935913,403,302
14.464392185211182,420,291
14.629429578781128,430,283
14.856414318084717,442,259
15.03335165977478,444,239
15.26045560836792,436,218
15.463365316390991,425,209
15.631643295288086,413,205
15.828455686569214,399,204
16.045501708984375,378,203
16.22534465789795,374,202
16.440274715423584,398,195
16.610358715057373,414,187
16.79542064666748,421,162
16.971351146697998,421,149
17.172247886657715,409,129
17.358049869537354,396,126
17.565125703811646,378,124
17.76925230026245,365,124
18.943305730819702,115,362
19.125404596328735,123,381
19.297019720077515,129,400
19.51976990699768,139,420
19.70931839942932,146,432
19.882113933563232,157,416
20.038207530975342,164,399
20.2202365398407,172,375
20.404433012008667,178,369
20.57624053955078,184,396
20.787285566329956,194,416
20.981401205062866,200,430
21.159220457077026,210,398
21.35215401649475,217,369
21.52616572380066,220,358
21.958091735839844,253,366
22.127187728881836,256,386
22.311925649642944,257,411
22.5092294216156,259,428
22.65809917449951,261,437
22.977489709854126,295,438
23.152180433273315,296,410
23.353370666503906,295,374
23.524008989334106,292,349
23.69416379928589,297,358
23.887039184570312,310,391
24.080094814300537,319,410
24.260091543197632,328,431
24.465484619140625,335,441
24.6463885307312,338,413
24.81016778945923,338,402
25.013100624084473,338,374
25.17921781539917,339,361
25.36402916908264,339,355
25.90009331703186,380,445
26.10107421875,382,424
26.299610376358032,382,406
26.494142293930054,382,390
26.678024768829346,382,377
26.873974800109863,384,359
27.057126998901367,386,353
27.254101991653442,402,353
27.449876308441162,415,356
27.634021759033203,433,354
27.840007066726685,439,352
28.304986000061035,391,391
28.49720597267151,405,392
28.695957899093628,414,392
28.88938021659851,429,391
29.056010723114014,439,391
30.615038871765137,254,375
30.804892539978027,257,402
30.978258848190308,261,416
31.166035175323486,264,439
31.35575819015503,263,439
31.569660902023315,263,391
31.7378089427948,257,373
31.8962664604187,253,363
32.53525161743164,308,377
32.70285725593567,309,392
32.88953185081482,318,399
33.06310296058655,333,425
33.22781848907471,335,431
33.4196560382843,342,411
33.59272742271423,342,373
33.74583840370178,343,358
35.69275689125061,564,300
35.887717485427856,551,298
36.08277606964111,536,298
36.272746324539185,528,302
36.46981334686279,522,309
36.64276719093323,509,327
36.83270835876465,511,342
37.00779867172241,519,358
37.21369290351868,540,360
37.39468955993652,549,345
37.57971000671387,541,331
37.77875113487244,523,329
37.988877296447754,517,333
40.24065113067627,575,381
40.43174743652344,596,380
40.61568808555603,621,379
40.77404808998108,633,379
40.94765663146973,625,395
41.128578662872314,616,414
41.31054377555847,607,432
41.47659206390381,597,448
41.648473501205444,595,451
41.90497064590454,594,415
42.09245157241821,605,412
42.28155755996704,613,410
